Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 68.0.3440.106,,2018-09-10 22:46:52,2018-09-10 22:49:19,2m - 26.761s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 68.0.3440.106,,2018-09-10 22:46:52,2018-09-10 22:47:26,33.603s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 22:46:53,2018-09-10 22:46:57,4.291s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-10 22:46:57,2018-09-10 22:46:58,1.161s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 22:46:58,2018-09-10 22:47:06,8.061s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:47:06,2018-09-10 22:47:06,0.193s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 22:47:06,2018-09-10 22:47:07,0.217s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:47:07,2018-09-10 22:47:11,4.354s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:47:11,2018-09-10 22:47:11,0.112s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:47:11,2018-09-10 22:47:12,1.039s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:47:12,2018-09-10 22:47:15,2.549s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:47:15,2018-09-10 22:47:16,1.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:47:16,2018-09-10 22:47:18,2.462s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:47:18,2018-09-10 22:47:19,1.002s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:47:19,2018-09-10 22:47:19,0.265s,PASSED
rightClick,Chrome 68.0.3440.106,,2018-09-10 22:47:19,2018-09-10 22:47:20,0.157s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:47:20,2018-09-10 22:47:20,0.204s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:47:20,2018-09-10 22:47:20,0.280s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:47:20,2018-09-10 22:47:20,0.194s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:47:20,2018-09-10 22:47:20,0.176s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:47:20,2018-09-10 22:47:21,0.227s,PASSED
