Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 69.0.3497.100,,2018-09-30 16:36:59,2018-09-30 16:38:59,2m - 0.318s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 69.0.3497.100,,2018-09-30 16:37:00,2018-09-30 16:37:30,30.284s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 16:37:00,2018-09-30 16:37:04,4.075s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 16:37:04,2018-09-30 16:37:05,1.171s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 16:37:05,2018-09-30 16:37:10,4.611s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:10,2018-09-30 16:37:10,0.199s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 16:37:10,2018-09-30 16:37:10,0.199s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:10,2018-09-30 16:37:13,2.982s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:13,2018-09-30 16:37:13,0.160s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:37:13,2018-09-30 16:37:16,3.049s,PASSED
scrollToPosition,Chrome 69.0.3497.100,,2018-09-30 16:37:16,2018-09-30 16:37:16,0.044s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:16,2018-09-30 16:37:18,2.041s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:37:18,2018-09-30 16:37:19,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:19,2018-09-30 16:37:23,3.380s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:37:23,2018-09-30 16:37:24,1.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:24,2018-09-30 16:37:24,0.234s,PASSED
rightClick,Chrome 69.0.3497.100,,2018-09-30 16:37:24,2018-09-30 16:37:24,0.145s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:24,2018-09-30 16:37:24,0.199s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:24,2018-09-30 16:37:25,0.257s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:25,2018-09-30 16:37:25,0.197s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:25,2018-09-30 16:37:25,0.168s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:25,2018-09-30 16:37:25,0.186s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:25,2018-09-30 16:37:26,0.293s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:26,2018-09-30 16:37:26,0.197s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:26,2018-09-30 16:37:26,0.193s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:26,2018-09-30 16:37:26,0.210s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:37:26,2018-09-30 16:37:26,0.205s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:26,2018-09-30 16:37:27,0.199s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:37:27,2018-09-30 16:37:28,1.003s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-30 16:37:28,2018-09-30 16:37:29,1.610s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-30 16:37:29,2018-09-30 16:37:30,0.665s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/SearchAttribute,Chrome 69.0.3497.100,,2018-09-30 16:37:30,2018-09-30 16:37:52,22.330s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 16:37:30,2018-09-30 16:37:34,4.176s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 16:37:34,2018-09-30 16:37:35,1.123s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 16:37:35,2018-09-30 16:37:40,4.359s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:40,2018-09-30 16:37:40,0.177s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 16:37:40,2018-09-30 16:37:40,0.162s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:40,2018-09-30 16:37:43,2.741s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:37:43,2018-09-30 16:37:44,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:44,2018-09-30 16:37:44,0.132s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:37:44,2018-09-30 16:37:47,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:47,2018-09-30 16:37:49,2.371s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:49,2018-09-30 16:37:50,0.240s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:37:50,2018-09-30 16:37:51,1.868s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-30 16:37:51,2018-09-30 16:37:52,0.058s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-30 16:37:52,2018-09-30 16:37:52,0.644s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/EditAttribute,Chrome 69.0.3497.100,,2018-09-30 16:37:52,2018-09-30 16:38:18,25.962s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 16:37:52,2018-09-30 16:37:54,1.955s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 16:37:54,2018-09-30 16:37:55,1.133s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 16:37:55,2018-09-30 16:37:59,4.015s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:37:59,2018-09-30 16:38:00,0.167s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 16:38:00,2018-09-30 16:38:00,0.143s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:38:00,2018-09-30 16:38:03,3.423s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:38:03,2018-09-30 16:38:04,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:38:04,2018-09-30 16:38:04,0.122s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:38:04,2018-09-30 16:38:07,3.002s,PASSED
