Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 68.0.3440.106,,2018-09-19 22:43:46,2018-09-19 22:44:28,42.794s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 68.0.3440.106,,2018-09-19 22:43:46,2018-09-19 22:44:07,20.841s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 22:43:46,2018-09-19 22:43:50,3.447s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 22:43:50,2018-09-19 22:43:51,1.178s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 22:43:51,2018-09-19 22:43:54,3.234s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 22:43:54,2018-09-19 22:43:55,0.216s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 22:43:55,2018-09-19 22:43:55,0.257s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:43:55,2018-09-19 22:43:57,2.376s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:43:57,2018-09-19 22:43:57,0.149s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:43:57,2018-09-19 22:44:00,3.046s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:00,2018-09-19 22:44:02,1.853s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:02,2018-09-19 22:44:04,1.379s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:04,2018-09-19 22:44:04,0.149s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 22:44:04,2018-09-19 22:44:04,0.144s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 22:44:04,2018-09-19 22:44:04,0.202s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:04,2018-09-19 22:44:04,0.119s,PASSED
rightClick,Chrome 68.0.3440.106,,2018-09-19 22:44:04,2018-09-19 22:44:06,1.959s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 22:44:06,2018-09-19 22:44:07,0.671s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 68.0.3440.106,,2018-09-19 22:44:07,2018-09-19 22:44:28,21.457s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 22:44:07,2018-09-19 22:44:09,1.951s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 22:44:09,2018-09-19 22:44:10,1.141s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 22:44:10,2018-09-19 22:44:14,3.576s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 22:44:14,2018-09-19 22:44:14,0.171s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 22:44:14,2018-09-19 22:44:14,0.146s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:14,2018-09-19 22:44:17,2.600s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:17,2018-09-19 22:44:17,0.137s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:44:17,2018-09-19 22:44:20,3.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:20,2018-09-19 22:44:21,1.632s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:21,2018-09-19 22:44:23,1.854s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:44:23,2018-09-19 22:44:24,1.004s,PASSED
focus,Chrome 68.0.3440.106,,2018-09-19 22:44:24,2018-09-19 22:44:24,0.067s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:24,2018-09-19 22:44:24,0.100s,PASSED
acceptAlert,Chrome 68.0.3440.106,,2018-09-19 22:44:24,2018-09-19 22:44:25,0.034s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:44:25,2018-09-19 22:44:28,3.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:44:28,2018-09-19 22:44:28,0.135s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 22:44:28,2018-09-19 22:44:28,0.650s,PASSED
