Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 69.0.3497.100,,2018-10-01 07:58:10,2018-10-01 07:59:08,57.752s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 69.0.3497.100,,2018-10-01 07:58:11,2018-10-01 07:58:40,29.694s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:58:11,2018-10-01 07:58:14,3.240s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:58:14,2018-10-01 07:58:15,1.155s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:58:15,2018-10-01 07:58:21,5.172s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:58:21,2018-10-01 07:58:21,0.203s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:58:21,2018-10-01 07:58:21,0.233s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:21,2018-10-01 07:58:24,2.940s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:24,2018-10-01 07:58:24,0.116s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:24,2018-10-01 07:58:27,3.040s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:27,2018-10-01 07:58:29,2.037s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:29,2018-10-01 07:58:30,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:30,2018-10-01 07:58:32,1.947s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:32,2018-10-01 07:58:33,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:33,2018-10-01 07:58:33,0.088s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:33,2018-10-01 07:58:34,1.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:58:34,2018-10-01 07:58:34,0.124s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:34,2018-10-01 07:58:35,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:58:35,2018-10-01 07:58:35,0.172s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:35,2018-10-01 07:58:36,1.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:36,2018-10-01 07:58:37,0.143s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:37,2018-10-01 07:58:40,3.002s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-01 07:58:40,2018-10-01 07:58:40,0.687s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 69.0.3497.100,,2018-10-01 07:58:40,2018-10-01 07:59:08,27.629s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:58:41,2018-10-01 07:58:42,1.934s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:58:42,2018-10-01 07:58:44,1.142s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:58:44,2018-10-01 07:58:48,4.676s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:58:48,2018-10-01 07:58:48,0.166s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:58:48,2018-10-01 07:58:49,0.154s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:49,2018-10-01 07:58:51,2.391s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:51,2018-10-01 07:58:51,0.150s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:51,2018-10-01 07:58:54,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:54,2018-10-01 07:58:56,1.999s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:58:56,2018-10-01 07:58:58,1.778s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:58:58,2018-10-01 07:59:01,3.003s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-01 07:59:01,2018-10-01 07:59:01,0.096s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:59:01,2018-10-01 07:59:01,0.110s,PASSED
acceptAlert,Chrome 69.0.3497.100,,2018-10-01 07:59:01,2018-10-01 07:59:01,0.026s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:59:01,2018-10-01 07:59:04,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:59:04,2018-10-01 07:59:04,0.122s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:59:04,2018-10-01 07:59:07,3.003s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-01 07:59:07,2018-10-01 07:59:08,0.655s,PASSED
