Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 69.0.3497.100,,2018-10-01 07:42:23,2018-10-01 07:44:30,2m - 6.124s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 69.0.3497.100,,2018-10-01 07:42:24,2018-10-01 07:42:49,25.176s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:42:24,2018-10-01 07:42:28,3.345s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:42:28,2018-10-01 07:42:29,1.151s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:42:29,2018-10-01 07:42:33,4.120s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:42:33,2018-10-01 07:42:33,0.254s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:42:33,2018-10-01 07:42:33,0.248s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:33,2018-10-01 07:42:36,2.564s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:36,2018-10-01 07:42:36,0.129s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:42:36,2018-10-01 07:42:39,3.042s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:39,2018-10-01 07:42:41,1.991s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:42:41,2018-10-01 07:42:42,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:42,2018-10-01 07:42:44,1.615s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:42:44,2018-10-01 07:42:45,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:45,2018-10-01 07:42:45,0.114s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:42:45,2018-10-01 07:42:46,1.001s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:42:46,2018-10-01 07:42:46,0.142s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:42:46,2018-10-01 07:42:47,1.002s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:42:47,2018-10-01 07:42:47,0.233s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:42:47,2018-10-01 07:42:48,1.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:48,2018-10-01 07:42:48,0.147s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-01 07:42:48,2018-10-01 07:42:49,0.649s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 69.0.3497.100,,2018-10-01 07:42:49,2018-10-01 07:43:40,50.592s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:42:49,2018-10-01 07:42:51,1.914s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:42:51,2018-10-01 07:42:52,1.139s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:42:52,2018-10-01 07:42:56,3.958s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:42:56,2018-10-01 07:42:56,0.189s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:42:56,2018-10-01 07:42:57,0.171s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:57,2018-10-01 07:42:59,2.843s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:42:59,2018-10-01 07:43:00,0.119s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:43:00,2018-10-01 07:43:03,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:43:03,2018-10-01 07:43:05,1.942s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:43:05,2018-10-01 07:43:06,1.601s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:43:06,2018-10-01 07:43:07,1.003s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-01 07:43:07,2018-10-01 07:43:40,32.496s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CheckMultiStepRegistrationOnFrontend,Chrome 69.0.3497.100,,2018-10-01 07:43:40,2018-10-01 07:44:29,49.285s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:43:40,2018-10-01 07:43:42,2.544s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:43:42,2018-10-01 07:43:44,1.132s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:43:44,2018-10-01 07:43:53,9.146s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:43:53,2018-10-01 07:43:53,0.107s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:43:53,2018-10-01 07:43:53,0.173s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:43:53,2018-10-01 07:43:53,0.125s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:43:53,2018-10-01 07:43:53,0.256s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:43:53,2018-10-01 07:43:54,0.139s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:43:54,2018-10-01 07:43:54,0.149s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:43:54,2018-10-01 07:43:54,0.177s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:43:54,2018-10-01 07:43:54,0.146s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:43:54,2018-10-01 07:43:56,2.377s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:43:56,2018-10-01 07:43:57,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:43:57,2018-10-01 07:44:29,31.543s,FAILED
