Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 68.0.3440.106,,2018-09-17 21:16:26,2018-09-17 21:18:17,1m - 51.769s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 68.0.3440.106,,2018-09-17 21:16:26,2018-09-17 21:16:55,29.257s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 21:16:27,2018-09-17 21:16:30,3.591s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 21:16:30,2018-09-17 21:16:31,1.155s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 21:16:31,2018-09-17 21:16:36,4.261s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 21:16:36,2018-09-17 21:16:36,0.206s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 21:16:36,2018-09-17 21:16:36,0.213s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 21:16:36,2018-09-17 21:16:39,3.191s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 21:16:39,2018-09-17 21:16:39,0.138s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 21:16:39,2018-09-17 21:16:40,1.037s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 21:16:40,2018-09-17 21:16:43,2.425s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 21:16:43,2018-09-17 21:16:44,1.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 21:16:44,2018-09-17 21:16:48,3.926s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 21:16:48,2018-09-17 21:16:49,1.005s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 21:16:49,2018-09-17 21:16:49,0.219s,PASSED
rightClick,Chrome 68.0.3440.106,,2018-09-17 21:16:49,2018-09-17 21:16:49,0.156s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 21:16:49,2018-09-17 21:16:49,0.194s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 21:16:49,2018-09-17 21:16:50,0.385s,PASSED
