Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 68.0.3440.106,,2018-09-19 22:41:03,2018-09-19 22:41:51,48.053s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 68.0.3440.106,,2018-09-19 22:41:04,2018-09-19 22:41:19,14.934s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 22:41:04,2018-09-19 22:41:08,3.733s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 22:41:08,2018-09-19 22:41:09,1.155s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 22:41:09,2018-09-19 22:41:13,3.548s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 22:41:13,2018-09-19 22:41:13,0.204s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 22:41:13,2018-09-19 22:41:13,0.214s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:13,2018-09-19 22:41:15,2.124s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:15,2018-09-19 22:41:15,0.093s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:41:15,2018-09-19 22:41:18,3.037s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:18,2018-09-19 22:41:19,0.392s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 68.0.3440.106,,2018-09-19 22:41:19,2018-09-19 22:41:51,32.069s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 22:41:19,2018-09-19 22:41:24,4.843s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 22:41:24,2018-09-19 22:41:25,1.138s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 22:41:25,2018-09-19 22:41:28,3.444s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 22:41:28,2018-09-19 22:41:28,0.184s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 22:41:28,2018-09-19 22:41:29,0.155s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:29,2018-09-19 22:41:31,2.764s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:31,2018-09-19 22:41:32,0.161s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:41:32,2018-09-19 22:41:35,3.005s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:35,2018-09-19 22:41:36,1.713s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 22:41:36,2018-09-19 22:41:38,1.672s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 22:41:38,2018-09-19 22:41:39,1.003s,PASSED
focus,Chrome 68.0.3440.106,,2018-09-19 22:41:39,2018-09-19 22:41:51,11.732s,FAILED
