Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 69.0.3497.100,,2018-09-30 16:41:20,2018-09-30 16:43:05,1m - 45.824s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 69.0.3497.100,,2018-09-30 16:41:20,2018-09-30 16:41:49,29.100s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 16:41:20,2018-09-30 16:41:24,3.348s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 16:41:24,2018-09-30 16:41:25,1.140s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 16:41:25,2018-09-30 16:41:30,4.598s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:41:30,2018-09-30 16:41:30,0.221s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 16:41:30,2018-09-30 16:41:30,0.228s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:41:30,2018-09-30 16:41:33,2.963s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:41:33,2018-09-30 16:41:33,0.138s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:41:33,2018-09-30 16:41:36,3.041s,PASSED
scrollToPosition,Chrome 69.0.3497.100,,2018-09-30 16:41:36,2018-09-30 16:41:36,0.042s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:41:36,2018-09-30 16:41:38,2.302s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:41:38,2018-09-30 16:41:40,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:41:40,2018-09-30 16:41:42,2.507s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:41:42,2018-09-30 16:41:43,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:41:43,2018-09-30 16:41:43,0.208s,PASSED
rightClick,Chrome 69.0.3497.100,,2018-09-30 16:41:43,2018-09-30 16:41:43,0.171s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:41:43,2018-09-30 16:41:44,0.183s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:44,2018-09-30 16:41:44,0.267s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:44,2018-09-30 16:41:44,0.183s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 16:41:44,2018-09-30 16:41:44,0.164s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:44,2018-09-30 16:41:44,0.274s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:44,2018-09-30 16:41:45,0.281s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:45,2018-09-30 16:41:45,0.181s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:45,2018-09-30 16:41:45,0.232s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:45,2018-09-30 16:41:45,0.228s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-30 16:41:45,2018-09-30 16:41:46,0.226s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 16:41:46,2018-09-30 16:41:46,0.163s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 16:41:46,2018-09-30 16:41:47,1.003s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-30 16:41:47,2018-09-30 16:41:48,1.681s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-30 16:41:48,2018-09-30 16:41:49,0.683s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/SearchAttribute,Chrome 69.0.3497.100,,2018-09-30 16:41:49,2018-09-30 16:42:09,19.361s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 16:41:49,2018-09-30 16:41:51,1.975s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 16:41:51,2018-09-30 16:41:52,1.132s,PASSED
