Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 69.0.3497.100,,2018-09-30 16:59:59,2018-09-30 17:00:33,33.960s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 69.0.3497.100,,2018-09-30 17:00:00,2018-09-30 17:00:22,22.018s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 17:00:00,2018-09-30 17:00:03,3.297s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 17:00:03,2018-09-30 17:00:05,1.160s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 17:00:05,2018-09-30 17:00:09,4.977s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:00:09,2018-09-30 17:00:10,0.205s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 17:00:10,2018-09-30 17:00:10,0.226s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:10,2018-09-30 17:00:13,2.669s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:13,2018-09-30 17:00:13,0.140s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 17:00:13,2018-09-30 17:00:16,3.049s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:16,2018-09-30 17:00:17,1.606s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:17,2018-09-30 17:00:19,1.734s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:19,2018-09-30 17:00:19,0.187s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:00:19,2018-09-30 17:00:19,0.157s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:00:19,2018-09-30 17:00:20,0.195s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:20,2018-09-30 17:00:20,0.149s,PASSED
rightClick,Chrome 69.0.3497.100,,2018-09-30 17:00:20,2018-09-30 17:00:21,1.147s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-30 17:00:21,2018-09-30 17:00:22,0.683s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 69.0.3497.100,,2018-09-30 17:00:22,2018-09-30 17:00:27,5.432s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 17:00:22,2018-09-30 17:00:24,1.926s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 17:00:24,2018-09-30 17:00:25,1.125s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 17:00:25,2018-09-30 17:00:27,1.967s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:00:27,2018-09-30 17:00:27,0.171s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CheckMultiStepRegistrationOnFrontend,Chrome 69.0.3497.100,,2018-09-30 17:00:27,2018-09-30 17:00:32,5.304s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 17:00:27,2018-09-30 17:00:30,2.594s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 17:00:30,2018-09-30 17:00:31,1.135s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 17:00:31,2018-09-30 17:00:32,1.165s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:00:32,2018-09-30 17:00:32,0.063s,FAILED
