Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 68.0.3440.106,,2018-09-10 22:31:59,2018-09-10 22:34:08,2m - 9.158s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 68.0.3440.106,,2018-09-10 22:32:00,2018-09-10 22:32:31,31.432s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 22:32:00,2018-09-10 22:32:03,3.387s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-10 22:32:03,2018-09-10 22:32:04,1.169s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 22:32:04,2018-09-10 22:32:12,7.731s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:32:12,2018-09-10 22:32:12,0.207s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 22:32:12,2018-09-10 22:32:13,0.215s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:13,2018-09-10 22:32:16,3.833s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:16,2018-09-10 22:32:17,0.124s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:32:17,2018-09-10 22:32:18,1.045s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:18,2018-09-10 22:32:20,2.446s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:32:20,2018-09-10 22:32:21,1.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:21,2018-09-10 22:32:24,2.548s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:32:24,2018-09-10 22:32:25,1.002s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:32:25,2018-09-10 22:32:25,0.234s,PASSED
rightClick,Chrome 68.0.3440.106,,2018-09-10 22:32:25,2018-09-10 22:32:25,0.131s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:32:25,2018-09-10 22:32:25,0.235s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:25,2018-09-10 22:32:26,0.311s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:26,2018-09-10 22:32:26,0.188s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:32:26,2018-09-10 22:32:26,0.164s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:26,2018-09-10 22:32:26,0.223s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:26,2018-09-10 22:32:26,0.264s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:26,2018-09-10 22:32:27,0.184s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:27,2018-09-10 22:32:27,0.188s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:27,2018-09-10 22:32:27,0.176s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-10 22:32:27,2018-09-10 22:32:27,0.178s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:27,2018-09-10 22:32:27,0.179s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:32:27,2018-09-10 22:32:28,1.003s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-10 22:32:28,2018-09-10 22:32:31,2.626s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/SearchAttribute,Chrome 68.0.3440.106,,2018-09-10 22:32:31,2018-09-10 22:32:56,25.450s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 22:32:31,2018-09-10 22:32:34,2.614s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-10 22:32:34,2018-09-10 22:32:35,1.139s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 22:32:35,2018-09-10 22:32:42,6.779s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:32:42,2018-09-10 22:32:42,0.148s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 22:32:42,2018-09-10 22:32:42,0.132s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:42,2018-09-10 22:32:47,4.722s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:32:47,2018-09-10 22:32:48,1.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:32:48,2018-09-10 22:32:48,0.123s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:32:48,2018-09-10 22:32:51,3.004s,PASSED
