Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 68.0.3440.106,,2018-09-10 22:50:44,2018-09-10 22:51:34,50.844s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/DeleteAttribute,Chrome 68.0.3440.106,,2018-09-10 22:50:44,2018-09-10 22:51:34,49.813s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 22:50:44,2018-09-10 22:50:49,4.677s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-10 22:50:49,2018-09-10 22:50:50,1.160s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 22:50:50,2018-09-10 22:51:00,9.296s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:51:00,2018-09-10 22:51:00,0.209s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-10 22:51:00,2018-09-10 22:51:00,0.234s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:00,2018-09-10 22:51:04,4.492s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:51:04,2018-09-10 22:51:05,1.028s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:05,2018-09-10 22:51:06,0.163s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:51:06,2018-09-10 22:51:09,3.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:09,2018-09-10 22:51:11,2.492s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 22:51:11,2018-09-10 22:51:11,0.256s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:11,2018-09-10 22:51:13,1.670s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-10 22:51:13,2018-09-10 22:51:13,0.060s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:13,2018-09-10 22:51:17,3.625s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:17,2018-09-10 22:51:17,0.155s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 22:51:17,2018-09-10 22:51:17,0.134s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-10 22:51:17,2018-09-10 22:51:20,3.003s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-10 22:51:20,2018-09-10 22:51:34,13.775s,FAILED
