Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 69.0.3497.100,,2018-09-30 17:23:50,2018-09-30 17:24:46,55.587s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 69.0.3497.100,,2018-09-30 17:23:51,2018-09-30 17:24:20,29.009s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 17:23:51,2018-09-30 17:23:55,3.373s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 17:23:55,2018-09-30 17:23:56,1.174s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 17:23:56,2018-09-30 17:24:01,5.343s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:24:01,2018-09-30 17:24:01,0.215s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 17:24:01,2018-09-30 17:24:02,0.231s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:02,2018-09-30 17:24:08,6.048s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:08,2018-09-30 17:24:08,0.179s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 17:24:08,2018-09-30 17:24:11,3.046s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:11,2018-09-30 17:24:13,2.177s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:13,2018-09-30 17:24:15,1.918s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:15,2018-09-30 17:24:15,0.095s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 17:24:15,2018-09-30 17:24:16,1.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:24:16,2018-09-30 17:24:16,0.137s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 17:24:16,2018-09-30 17:24:17,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:24:17,2018-09-30 17:24:17,0.163s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 17:24:17,2018-09-30 17:24:18,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:18,2018-09-30 17:24:19,0.156s,PASSED
rightClick,Chrome 69.0.3497.100,,2018-09-30 17:24:19,2018-09-30 17:24:19,0.635s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-30 17:24:19,2018-09-30 17:24:20,0.684s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 69.0.3497.100,,2018-09-30 17:24:20,2018-09-30 17:24:36,16.419s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 17:24:20,2018-09-30 17:24:22,2.039s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 17:24:22,2018-09-30 17:24:23,1.144s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 17:24:23,2018-09-30 17:24:27,4.157s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-30 17:24:27,2018-09-30 17:24:28,0.174s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-30 17:24:28,2018-09-30 17:24:28,0.167s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:28,2018-09-30 17:24:31,2.749s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:31,2018-09-30 17:24:31,0.148s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-30 17:24:31,2018-09-30 17:24:34,3.003s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:34,2018-09-30 17:24:36,2.016s,PASSED
click,Chrome 69.0.3497.100,,2018-09-30 17:24:36,2018-09-30 17:24:36,0.589s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CheckMultiStepRegistrationOnFrontend,Chrome 69.0.3497.100,,2018-09-30 17:24:36,2018-09-30 17:24:45,9.130s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-30 17:24:37,2018-09-30 17:24:39,2.618s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-30 17:24:39,2018-09-30 17:24:40,1.130s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-30 17:24:40,2018-09-30 17:24:45,5.077s,FAILED
