Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 69.0.3497.100,,2018-10-01 07:50:54,2018-10-01 07:52:14,1m - 19.289s,FAILED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 69.0.3497.100,,2018-10-01 07:50:55,2018-10-01 07:51:20,25.592s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:50:55,2018-10-01 07:50:58,3.254s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:50:58,2018-10-01 07:51:00,1.163s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:51:00,2018-10-01 07:51:04,4.187s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:51:04,2018-10-01 07:51:04,0.204s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:51:04,2018-10-01 07:51:04,0.215s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:04,2018-10-01 07:51:07,2.593s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:07,2018-10-01 07:51:07,0.203s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:07,2018-10-01 07:51:10,3.053s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:10,2018-10-01 07:51:12,2.112s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:12,2018-10-01 07:51:13,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:13,2018-10-01 07:51:15,2.030s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:15,2018-10-01 07:51:16,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:16,2018-10-01 07:51:16,0.102s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:16,2018-10-01 07:51:17,1.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:51:17,2018-10-01 07:51:17,0.130s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:17,2018-10-01 07:51:18,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:51:18,2018-10-01 07:51:19,0.158s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:19,2018-10-01 07:51:20,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:20,2018-10-01 07:51:20,0.131s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-01 07:51:20,2018-10-01 07:51:20,0.644s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 69.0.3497.100,,2018-10-01 07:51:20,2018-10-01 07:52:13,52.657s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 07:51:21,2018-10-01 07:51:22,1.914s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-01 07:51:22,2018-10-01 07:51:24,1.118s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 07:51:24,2018-10-01 07:51:28,3.953s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 07:51:28,2018-10-01 07:51:28,0.180s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-01 07:51:28,2018-10-01 07:51:28,0.151s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:28,2018-10-01 07:51:30,2.555s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:30,2018-10-01 07:51:31,0.140s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:31,2018-10-01 07:51:34,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:34,2018-10-01 07:51:36,2.088s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 07:51:36,2018-10-01 07:51:37,1.741s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-01 07:51:37,2018-10-01 07:51:40,3.005s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-01 07:51:40,2018-10-01 07:52:13,32.559s,FAILED
