Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 68.0.3440.106,,2018-09-19 21:47:18,2018-09-19 21:48:54,1m - 35.754s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 68.0.3440.106,,2018-09-19 21:47:18,2018-09-19 21:47:44,26.121s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 21:47:19,2018-09-19 21:47:23,4.524s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 21:47:23,2018-09-19 21:47:24,1.153s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 21:47:24,2018-09-19 21:47:28,3.367s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 21:47:28,2018-09-19 21:47:28,0.199s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 21:47:28,2018-09-19 21:47:28,0.239s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 21:47:28,2018-09-19 21:47:31,2.498s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 21:47:31,2018-09-19 21:47:31,0.139s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 21:47:31,2018-09-19 21:47:32,1.048s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 21:47:32,2018-09-19 21:47:34,1.846s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 21:47:34,2018-09-19 21:47:35,1.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 21:47:35,2018-09-19 21:47:38,3.246s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 21:47:38,2018-09-19 21:47:39,1.003s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 21:47:39,2018-09-19 21:47:39,0.208s,PASSED
rightClick,Chrome 68.0.3440.106,,2018-09-19 21:47:39,2018-09-19 21:47:39,0.116s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 21:47:39,2018-09-19 21:47:39,0.187s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:39,2018-09-19 21:47:40,0.295s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:40,2018-09-19 21:47:40,0.182s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 21:47:40,2018-09-19 21:47:40,0.149s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:40,2018-09-19 21:47:40,0.191s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:40,2018-09-19 21:47:40,0.254s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:40,2018-09-19 21:47:41,0.187s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:41,2018-09-19 21:47:41,0.241s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:41,2018-09-19 21:47:41,0.196s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 21:47:41,2018-09-19 21:47:41,0.213s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 21:47:41,2018-09-19 21:47:41,0.161s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-19 21:47:41,2018-09-19 21:47:42,1.002s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-19 21:47:42,2018-09-19 21:47:44,1.178s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 21:47:44,2018-09-19 21:47:44,0.682s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/SearchAttribute,Chrome 68.0.3440.106,,2018-09-19 21:47:44,2018-09-19 21:48:04,19.658s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 21:47:44,2018-09-19 21:47:47,2.340s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 21:47:47,2018-09-19 21:47:48,1.138s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-19 21:47:48,2018-09-19 21:47:52,4.482s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 21:47:52,2018-09-19 21:47:53,0.163s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-19 21:47:53,2018-09-19 21:47:53,0.149s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 21:47:53,2018-09-19 21:47:55,2.638s,PASSED
